Author,Work,Nation,Age
Jonathan Spence,The Death of Woman Wang,Great Britain and Ireland,The Chaotic Age (20th Century)
Jonathan Spence,The Memory Palace of Matteo Ricci,Great Britain and Ireland,The Chaotic Age (20th Century)
Elizabeth Jennings,Selected Poems,Great Britain and Ireland,The Chaotic Age (20th Century)
Keith Douglas,The Complete Poems,Great Britain and Ireland,The Chaotic Age (20th Century)
"MacDiarmid, Hugh.",Complete Poems,Great Britain and Ireland,The Chaotic Age (20th Century)
"MacNeice, Louis.",Collected Poems,Great Britain and Ireland,The Chaotic Age (20th Century)
"Dylan Thomas, 1914-1953",The Poems,Great Britain and Ireland,The Chaotic Age (20th Century)
Nigel Dennis,Cards of Identity,Great Britain and Ireland,The Chaotic Age (20th Century)
Seamus Heaney,Selected Poems: 1969-1987,Great Britain and Ireland,The Chaotic Age (20th Century)
Seamus Heaney,Field Work,Great Britain and Ireland,The Chaotic Age (20th Century)
Seamus Heaney,Station Island,Great Britain and Ireland,The Chaotic Age (20th Century)
Thomas Kinsella,Peppercanister Poems,Great Britain and Ireland,The Chaotic Age (20th Century)
Paul Muldoon,Selected Poems,Great Britain and Ireland,The Chaotic Age (20th Century)
John Montague,Selected Poems,Great Britain and Ireland,The Chaotic Age (20th Century)
John Arden,Plays,Great Britain and Ireland,The Chaotic Age (20th Century)
Joe Orton,The Complete Plays,Great Britain and Ireland,The Chaotic Age (20th Century)
"Flann O'Brian,",The Dalkey Archive,Great Britain and Ireland,The Chaotic Age (20th Century)
"Flann O'Brian,",The Third Policeman,Great Britain and Ireland,The Chaotic Age (20th Century)
Tom Stoppard,Travesties,Great Britain and Ireland,The Chaotic Age (20th Century)
Harold Pinter,The Caretaker,Great Britain and Ireland,The Chaotic Age (20th Century)
Harold Pinter,The Homecoming,Great Britain and Ireland,The Chaotic Age (20th Century)
Edward Bond,The Fool,Great Britain and Ireland,The Chaotic Age (20th Century)
Edward Bond,Saved,Great Britain and Ireland,The Chaotic Age (20th Century)
"George Orwell, 1903-1950",Collected Essays,Great Britain and Ireland,The Chaotic Age (20th Century)
"George Orwell, 1903-1950",1984,Great Britain and Ireland,The Chaotic Age (20th Century)
"O'Brian, Edna.",A Fanatic Heart,Great Britain and Ireland,The Chaotic Age (20th Century)
Hugo von Hofmannsthal,"Poems and Verse Plays, tr. by Michael Hamburger and others",Germany,The Chaotic Age (20th Century)
Hugo von Hofmannsthal,"Selected Prose, tr. by James Huttinger and Tania and James Stern",Germany,The Chaotic Age (20th Century)
Hugo von Hofmannsthal,"Selected Plays and Libretti, tr. by Michael Hamburger and others",Germany,The Chaotic Age (20th Century)
"Rilke, Rainer Maria.",Selected Poetry,Germany,The Chaotic Age (20th Century)
"Rilke, Rainer Maria.",The Sonnets to Orpheus,Germany,The Chaotic Age (20th Century)
"Rilke, Rainer Maria.",The Notebooks of Malte Laurids Brigge all tr. by Stephen Mitchell,Germany,The Chaotic Age (20th Century)
"Rilke, Rainer Maria.","New Poems: First Part and Other Part, tr. by Edward Snow",Germany,The Chaotic Age (20th Century)
Hermann Broch,The Sleepwalkers,Germany,The Chaotic Age (20th Century)
Hermann Broch,The Death of Virgil,Germany,The Chaotic Age (20th Century)
Hermann Broch,Hugo von Hofmannsthal and His Time,Germany,The Chaotic Age (20th Century)
Georg Trakl,Selected Poems,Germany,The Chaotic Age (20th Century)
Gottfried Benn,Selected Poems,Germany,The Chaotic Age (20th Century)
"Franz Kafka, 1883–1924",Amerika,Germany,The Chaotic Age (20th Century)
"Franz Kafka, 1883–1924",The Complete Stories,Germany,The Chaotic Age (20th Century)
"Franz Kafka, 1883–1924",The Blue Octavo Notebook,Germany,The Chaotic Age (20th Century)
"Franz Kafka, 1883–1924",The Trial,Germany,The Chaotic Age (20th Century)
"Franz Kafka, 1883–1924",Diaries,Germany,The Chaotic Age (20th Century)
"Franz Kafka, 1883–1924",The Castle,Germany,The Chaotic Age (20th Century)
"Franz Kafka, 1883–1924","Parables, Fragments, Aphorisms",Germany,The Chaotic Age (20th Century)
Bertolt Brecht,Poems 1913-1956,Germany,The Chaotic Age (20th Century)
Bertolt Brecht,"The Threepenny Opera, tr. by Desmond Vesey and Eric Bentley",Germany,The Chaotic Age (20th Century)
Bertolt Brecht,"The Good Woman of Setzuan, tr. by Eric Bentley",Germany,The Chaotic Age (20th Century)
Bertolt Brecht,"Galileo, tr. by Charles Laughton",Germany,The Chaotic Age (20th Century)
Bertolt Brecht,The Caucasian Chalk Circle,Germany,The Chaotic Age (20th Century)
Arthur Schnitzler,Plays,Germany,The Chaotic Age (20th Century)
Arthur Schnitzler,Stories,Germany,The Chaotic Age (20th Century)
Frank Wedekind,Lulu Plays,Germany,The Chaotic Age (20th Century)
Frank Wedekind,"Spring Awakening, tr. by Edward Bond",Germany,The Chaotic Age (20th Century)
Karl Kraus,The Last Days of Mankind,Germany,The Chaotic Age (20th Century)
"Eich, Günter.",Moles,Germany,The Chaotic Age (20th Century)
Thomas Mann,The Magic Mountain,Germany,The Chaotic Age (20th Century)
Thomas Mann,Stories of Three Decades,Germany,The Chaotic Age (20th Century)
Thomas Mann,Joseph and His Brothers,Germany,The Chaotic Age (20th Century)
Thomas Mann,Doctor Faustus,Germany,The Chaotic Age (20th Century)
Thomas Mann,"Confessions of Felix Krull, Confidence Man",Germany,The Chaotic Age (20th Century)
"Döblin, Alfred.",Berlin Alexanderplatz,Germany,The Chaotic Age (20th Century)
Hermann Hesse,The Glass Bead Game (Magister Ludi),Germany,The Chaotic Age (20th Century)
Hermann Hesse,Narcissus and Goldmund,Germany,The Chaotic Age (20th Century)
Robert Musil,Young Törless,Germany,The Chaotic Age (20th Century)
Robert Musil,The Man Without Qualities,Germany,The Chaotic Age (20th Century)
Joseph Roth,The Radetzky March,Germany,The Chaotic Age (20th Century)
Paul Celan,"Poems, tr. by Michael Hamburger",Germany,The Chaotic Age (20th Century)
Thomas Bernhard,Woodcutters,Germany,The Chaotic Age (20th Century)
"Böll, Heinrich.",Billiards at Half-Past Nine,Germany,The Chaotic Age (20th Century)
Ingeborg Bachmann,"In the Storm of Roses, tr. by Mark Anderson",Germany,The Chaotic Age (20th Century)
"Enzensberger, Hans Magnus.",Poems for People Who Don't Read Poems,Germany,The Chaotic Age (20th Century)
Walter Benjamin,Illuminations,Germany,The Chaotic Age (20th Century)
Robert Walser,"Selected Stories, tr. by Christopher Middleton et al",Germany,The Chaotic Age (20th Century)
Christa Wolf,Cassandra,Germany,The Chaotic Age (20th Century)
Peter Handke,Slow Homecoming,Germany,The Chaotic Age (20th Century)
Max Frisch,I'm Not Stiller,Germany,The Chaotic Age (20th Century)
Max Frisch,Man in the Holocene,Germany,The Chaotic Age (20th Century)
"Grass, Günter.",The Tin Drum,Germany,The Chaotic Age (20th Century)
"Grass, Günter.",The Flounder,Germany,The Chaotic Age (20th Century)
"Dürrenmatt, Friedrich.",The Visit,Germany,The Chaotic Age (20th Century)
Johannes Bobrowski,"Shadow Lands, tr. by Ruth and Matthew Mead",Germany,The Chaotic Age (20th Century)
Anna Akhmatova,"Poems, tr. by Stanley Kunitz and Max Hayward",Russia,The Chaotic Age (20th Century)
Leonid Andreyev,Selected Tales,Russia,The Chaotic Age (20th Century)
Andrey Bely,Petersburg,Russia,The Chaotic Age (20th Century)
Osip Mandelshtam,"Selected Poems, tr. by Clarence Brown and W. S. Merwin",Russia,The Chaotic Age (20th Century)
Velimir Khlebnikov,The King of Time,Russia,The Chaotic Age (20th Century)
Vladimir Mayakovsky,"The Bedbug and Selected Poetry, tr. by Max Hayward and George Reavey",Russia,The Chaotic Age (20th Century)
Mikhail Bulgatov,The Master and Margherita,Russia,The Chaotic Age (20th Century)
Mickhail Kuzmin,Alexandrian Songs,Russia,The Chaotic Age (20th Century)
"Maksim Gorky, 1868-1936","Reminiscences of Tolstoy, Chekhov, and Andreev",Russia,The Chaotic Age (20th Century)
"Maksim Gorky, 1868-1936",Autobiography,Russia,The Chaotic Age (20th Century)
Ivan Bunin,Selected Stories,Russia,The Chaotic Age (20th Century)
Isaac Babel,Collected Stories,Russia,The Chaotic Age (20th Century)
Boris Pasternak,Doctor Zhivago,Russia,The Chaotic Age (20th Century)
Boris Pasternak,"Selected Poems, tr. by Jon Stallworthy and Peter France",Russia,The Chaotic Age (20th Century)
Yury Olesha,Envy,Russia,The Chaotic Age (20th Century)
Marina Tsvetayeva,"Selected Poems, tr. by Elaine Feinstein",Russia,The Chaotic Age (20th Century)
Mikhail Zoshchenko,Nervous People and Other Satires,Russia,The Chaotic Age (20th Century)
Andrei Platonov,The Foundation Pit,Russia,The Chaotic Age (20th Century)
Aleksandr Solzhenitsyn,One Day in the Life of Ivan Denisovich,Russia,The Chaotic Age (20th Century)
Aleksandr Solzhenitsyn,The Cancer Ward,Russia,The Chaotic Age (20th Century)
Aleksandr Solzhenitsyn,The Gulag Archipelago,Russia,The Chaotic Age (20th Century)
Aleksandr Solzhenitsyn,August 1914,Russia,The Chaotic Age (20th Century)
Joseph Brodsky,A Part of Speech: Poems,Russia,The Chaotic Age (20th Century)
Isak Dineson,Winter's Tales,Scandinavia,The Chaotic Age (20th Century)
Isak Dineson,Seven Gothic Tales,Scandinavia,The Chaotic Age (20th Century)
"Nexo, Martin Anderson.",Pelle the Conqueror,Scandinavia,The Chaotic Age (20th Century)
"Knut Hamsun, 1859-1952",Hunger,Scandinavia,The Chaotic Age (20th Century)
"Knut Hamsun, 1859-1952",Pan,Scandinavia,The Chaotic Age (20th Century)
Sigrid Undset,Kristin Lavransdatter,Scandinavia,The Chaotic Age (20th Century)
"Ekelöf, Gunnar.","Guide to the Underworld, tr. by Rika Lesser",Scandinavia,The Chaotic Age (20th Century)
"Tranströmer, Tomas.",Selected Poems,Scandinavia,The Chaotic Age (20th Century)
"Lagerkvist, Pär.",Barrabas,Scandinavia,The Chaotic Age (20th Century)
Lars Gustafsson,Selected Poems,Scandinavia,The Chaotic Age (20th Century)
Ivo Andric,The Bridge on the Drina,Serbian/Croatian,The Chaotic Age (20th Century)
Vasko Popa,Selected Poems,Serbian/Croatian,The Chaotic Age (20th Century)
Danilo Kis,A Tomb for Boris Davidovich,Serbian/Croatian,The Chaotic Age (20th Century)
"Karel Čapek, 1890-1938",War with the Newts,Czech,The Chaotic Age (20th Century)
"Karel Čapek, 1890-1938",R.U.R,Czech,The Chaotic Age (20th Century)
Vaclav Havel,Largo Desolato,Czech,The Chaotic Age (20th Century)
Milan Kundera,The Unbearable Lightness of Being,Czech,The Chaotic Age (20th Century)
Jaroslav Seifert,Selected Poetry,Czech,The Chaotic Age (20th Century)
Miroslav Holub,The Fly,Czech,The Chaotic Age (20th Century)
Bruno Schulz,The Street of Crocodiles,Polish,The Chaotic Age (20th Century)
Bruno Schulz,Sanatorium Under the Sign of the Hourglass,Polish,The Chaotic Age (20th Century)
Czeslaw Milosz,Selected Poems,Polish,The Chaotic Age (20th Century)
Witold Gombrowicz,Three Novels,Polish,The Chaotic Age (20th Century)
Stanislaw Lem,The Investigation,Polish,The Chaotic Age (20th Century)
Stanislaw Lem,Solaris,Polish,The Chaotic Age (20th Century)
Zbigniew Herbert,Selected Poems,Polish,The Chaotic Age (20th Century)
Adam Zagajewski,Tremor,Polish,The Chaotic Age (20th Century)
"Jósef, Attila.",Perched on Nothing's Branch,Hungarian,The Chaotic Age (20th Century)
Ferenc Juhasz,Selected Poems,Hungarian,The Chaotic Age (20th Century)
"Németh, Laszlo.",Guilt,Hungarian,The Chaotic Age (20th Century)
"Cavafy, C.P.",Collected Poems,Modern Greek,The Chaotic Age (20th Century)
George Seferis,Collected Poems,Modern Greek,The Chaotic Age (20th Century)
Nikos Kazantzakis,The Greek Passion,Modern Greek,The Chaotic Age (20th Century)
Nikos Kazantzakis,The Odyssey: A Modern Sequel,Modern Greek,The Chaotic Age (20th Century)
Yannis Ritsos,Exile and Return,Modern Greek,The Chaotic Age (20th Century)
Odysseas Elytis,What I Love: Selected Poems,Modern Greek,The Chaotic Age (20th Century)
Angelos Sikelianos,Selected Poems,Modern Greek,The Chaotic Age (20th Century)
Sholem Aleichem,Tevye the Dairyman,Yiddish,The Chaotic Age (20th Century)
Sholem Aleichem,"The Railroad Stories, tr. by Hillel Halkin",Yiddish,The Chaotic Age (20th Century)
Sholem Aleichem,"The Nightingale, tr. by Aliza Shevrin",Yiddish,The Chaotic Age (20th Century)
"Seforim, Mendele Mokher.",The Travels and Adventures of Benjamin the Third,Yiddish,The Chaotic Age (20th Century)
"Peretz, I.L.",Selected Stories,Yiddish,The Chaotic Age (20th Century)
Jacob Glatstein,Selected Poems,Yiddish,The Chaotic Age (20th Century)
"Halpern, Moshe-Leib.",Selected Poems,Yiddish,The Chaotic Age (20th Century)
H. Leivick (Leivick Halpern).,Selected Poems,Yiddish,The Chaotic Age (20th Century)
"Singer, Israel Joshua.",The Brothers Ashkenazi,Yiddish,The Chaotic Age (20th Century)
"Singer, Israel Joshua.",Yoshi Kalb,Yiddish,The Chaotic Age (20th Century)
Chaim Grade,The Yeshiva,Yiddish,The Chaotic Age (20th Century)
"Ansyky, S.",The Dybbuk,Yiddish,The Chaotic Age (20th Century)
Mani Leib,Selected Poems,Yiddish,The Chaotic Age (20th Century)
Sholem Asch,East River,Yiddish,The Chaotic Age (20th Century)
"Singer, Isaac Bashevis.",Collected Stories,Yiddish,The Chaotic Age (20th Century)
"Singer, Isaac Bashevis.",In My Father's Court,Yiddish,The Chaotic Age (20th Century)
"Singer, Isaac Bashevis.","The Manor, the Estate, the Family Moskrat",Yiddish,The Chaotic Age (20th Century)
"Singer, Isaac Bashevis.",Satan in Goray,Yiddish,The Chaotic Age (20th Century)
"Bialik, Hayyim Nahman.",Shirot Bialik: The Epic Poems,Hebrew,The Chaotic Age (20th Century)
"Agnon, S.Y.",In the Heart of the Seas,Hebrew,The Chaotic Age (20th Century)
Aharon Appelfed,The Immortal Bartfuss,Hebrew,The Chaotic Age (20th Century)
Aharon Appelfed,Badenheim 1939,Hebrew,The Chaotic Age (20th Century)
Yaakov Shabtai,Past Continuous,Hebrew,The Chaotic Age (20th Century)
Yehuda Amichai,"Selected Poetry, tr. by Stephen Mitchell and Chana Bloch",Hebrew,The Chaotic Age (20th Century)
Yehuda Amichai,"Travels, tr. by Ruth Nevo",Hebrew,The Chaotic Age (20th Century)
"Yehoshua, A.B.",A Late Divorce,Hebrew,The Chaotic Age (20th Century)
Amos Oz,A Perfect Peace,Hebrew,The Chaotic Age (20th Century)
"Carmi, T.","At the Stone of Losses, tr. by Grace Schulman",Hebrew,The Chaotic Age (20th Century)
Nathan Zach,Selected Poems,Hebrew,The Chaotic Age (20th Century)
Dalia Ravikovitch,A Dress of Fire,Hebrew,The Chaotic Age (20th Century)
Dan Pagis,Selected Poems,Hebrew,The Chaotic Age (20th Century)
David Shahar,The Palace of Shattered Vessels,Hebrew,The Chaotic Age (20th Century)
David Grossman,See Under: Love,Hebrew,The Chaotic Age (20th Century)
Yoram Kaniuk,His Daughter,Hebrew,The Chaotic Age (20th Century)
Najib Mahfuz,Midaq Alley,Arabic,The Chaotic Age (20th Century)
Najib Mahfuz,Fountain and Tomb,Arabic,The Chaotic Age (20th Century)
Najib Mahfuz,Miramar,Arabic,The Chaotic Age (20th Century)
Adunis.,Selected Poems,Arabic,The Chaotic Age (20th Century)
Mahmud Darwish,The Music of Human Flesh,Arabic,The Chaotic Age (20th Century)
Taha Husayn,An Egyptian Childhood,Arabic,The Chaotic Age (20th Century)
"Dário, Rubén.",Selected Poetry,Latin America,The Chaotic Age (20th Century)
"Borges, Jorge Luis.",The Aleph and Other Stories,Latin America,The Chaotic Age (20th Century)
"Borges, Jorge Luis.",Dreamtigers (The Maker),Latin America,The Chaotic Age (20th Century)
"Borges, Jorge Luis.",Ficciones,Latin America,The Chaotic Age (20th Century)
"Borges, Jorge Luis.",Labyrinths,Latin America,The Chaotic Age (20th Century)
"Borges, Jorge Luis.",A Personal Anthology,Latin America,The Chaotic Age (20th Century)
Alejo Carpentier,Explosion in a Cathedral,Latin America,The Chaotic Age (20th Century)
Alejo Carpentier,The Lost Steps,Latin America,The Chaotic Age (20th Century)
Alejo Carpentier,Reasons of State,Latin America,The Chaotic Age (20th Century)
Alejo Carpentier,The Kingdom of this World,Latin America,The Chaotic Age (20th Century)
"Infante, Guillermo Cabrera.",Three Trapped Tigers,Latin America,The Chaotic Age (20th Century)
"Infante, Guillermo Cabrera.",View of Dawn in the Tropics,Latin America,The Chaotic Age (20th Century)
Severo Sarduy,Maitreya,Latin America,The Chaotic Age (20th Century)
Reinaldo Arenas,The Ill-Fated Peregrinations of Fray Servando,Latin America,The Chaotic Age (20th Century)
Pablo Neruda,"Canto General, tr. by Jack Schmitt",Latin America,The Chaotic Age (20th Century)
Pablo Neruda,"Residence on Earth, tr. by Donald Walsh",Latin America,The Chaotic Age (20th Century)
Pablo Neruda,"Twenty Love Poems and a Song of Despair, tr. by W. S. Merwin",Latin America,The Chaotic Age (20th Century)
Pablo Neruda,"Fully Empowered, tr. by Alastair Reid",Latin America,The Chaotic Age (20th Century)
Pablo Neruda,"Selected Poems, tr. by Ben Belitt",Latin America,The Chaotic Age (20th Century)
Octavio Paz,The Collected Poems,Latin America,The Chaotic Age (20th Century)
Octavio Paz,The Labyrinth of Solitude,Latin America,The Chaotic Age (20th Century)
"Vallejo, César.","Selected Poems, tr. by H. R. Hays",Latin America,The Chaotic Age (20th Century)
"Vallejo, César.","Spain, Take This Cup from Me",Latin America,The Chaotic Age (20th Century)
"Asturias, Miguel Angel.",Men of Maize,Latin America,The Chaotic Age (20th Century)
"Lima, José Lezama.",Paradiso,Latin America,The Chaotic Age (20th Century)
"Donoso, José.",The Obscene Bird of Night,Latin America,The Chaotic Age (20th Century)
"Cortázar, Julio.",Hopskotch,Latin America,The Chaotic Age (20th Century)
"Cortázar, Julio.","All Fires the Fire, tr. by Suzanne Jill Levine",Latin America,The Chaotic Age (20th Century)
"Cortázar, Julio.","Blow-up and Other Stories, tr. by Paul Blackburn",Latin America,The Chaotic Age (20th Century)
Gabriel Garcia Márquez.,"One Hundred Years of Solitude, tr. by Gregory Rabassa",Latin America,The Chaotic Age (20th Century)
Gabriel Garcia Márquez.,"Love in the Time of Cholera, tr. by Edith Grossman",Latin America,The Chaotic Age (20th Century)
"Llosa, Mario Vargas.",The War of the End of the World,Latin America,The Chaotic Age (20th Century)
Carlos Fuentes,A Change of Skin,Latin America,The Chaotic Age (20th Century)
Carlos Fuentes,Terra Nostra,Latin America,The Chaotic Age (20th Century)
"Andrade, Carlos Drummond de.","Travelling in the Family, tr. by Elizabeth Bishop, et al",Latin America,The Chaotic Age (20th Century)
"James, C.L.R.",The Black Jacobins,The West Indies,The Chaotic Age (20th Century)
"James, C.L.R.",The Future in the Present,The West Indies,The Chaotic Age (20th Century)
"Naipaul, V.S.",A Bend in the River,The West Indies,The Chaotic Age (20th Century)
"Naipaul, V.S.",A House for Mister Biswas,The West Indies,The Chaotic Age (20th Century)
Derek Walcott,Collected Poems,The West Indies,The Chaotic Age (20th Century)
Wilson Harris,The Guyana Quartet,The West Indies,The Chaotic Age (20th Century)
Michael Thelwell,The Harder They Come,The West Indies,The Chaotic Age (20th Century)
"Césaire, Aimé.",Collected Poetry,The West Indies,The Chaotic Age (20th Century)
Chinua Achebe,Things Fall Apart,Africa,The Chaotic Age (20th Century)
Wole Soyinka,A Dance of the Forest,Africa,The Chaotic Age (20th Century)
Amos Tutuola,The Palm-Wine Drinkard and His Dead Palm-Wine Tapster in the Dead's Town,Africa,The Chaotic Age (20th Century)
Christopher Okigbo,"Labyrinths, with Path of Thunder",Africa,The Chaotic Age (20th Century)
"(Bekederemo), John Pepper Clark.",Casualties: Poems,Africa,The Chaotic Age (20th Century)
"Armah, Ayi K.",The Beautiful Ones Are Not Yet Born,Africa,The Chaotic Age (20th Century)
"Ngugi, Wa Tiong'o.",A Grain of Wheat,Africa,The Chaotic Age (20th Century)
Gabriel Okara,The Fisherman's Invocation,Africa,The Chaotic Age (20th Century)
Nadine Gordimer,Collected Stories,Africa,The Chaotic Age (20th Century)
"Coetzee, J.M.",Foe,Africa,The Chaotic Age (20th Century)
Athol Fugard,A Lesson from Aloes,Africa,The Chaotic Age (20th Century)
"Senghor, Léopold S.",Selected Poems,Africa,The Chaotic Age (20th Century)
"Narayan, R.K.",The Guide,India (in English),The Chaotic Age (20th Century)
Salman Rushdie,Midnight's Children,India (in English),The Chaotic Age (20th Century)
"Jhabvala, Ruth Prawer.",Heat and Dust,India (in English),The Chaotic Age (20th Century)
Malcolm Lowry,Under the Volcano,Canada,The Chaotic Age (20th Century)
Robertson Davies,The Deptford Trilogy,Canada,The Chaotic Age (20th Century)
Robertson Davies,The Rebel Angels,Canada,The Chaotic Age (20th Century)
Alice Munro,Something I've Been Meaning to Tell You,Canada,The Chaotic Age (20th Century)
Northrop Frye,Fables of Identity,Canada,The Chaotic Age (20th Century)
"Hébert, Anne.",Selected Poems,Canada,The Chaotic Age (20th Century)
Jac Macpherson,Poems Twice Told,Canada,The Chaotic Age (20th Century)
Margaret Atwood,Surfacing,Canada,The Chaotic Age (20th Century)
Daryl Hine,Selected Poems,Canada,The Chaotic Age (20th Century)
"Miles Franklin, 1879-1954",My Brilliant Career,Australia and New Zealand,The Chaotic Age (20th Century)
"Katherine Mansfield, 1888-1923",The Short Stories,Australia and New Zealand,The Chaotic Age (20th Century)
"Hope, A.D.",Collected Poems,Australia and New Zealand,The Chaotic Age (20th Century)
Patrick White,Riders in the Chariot,Australia and New Zealand,The Chaotic Age (20th Century)
Patrick White,A Fringe of Leaves,Australia and New Zealand,The Chaotic Age (20th Century)
Patrick White,Voss,Australia and New Zealand,The Chaotic Age (20th Century)
Christina Stead,The Man Who Loved Children,Australia and New Zealand,The Chaotic Age (20th Century)
Judith Wright,Selected Poems,Australia and New Zealand,The Chaotic Age (20th Century)
Les A. Murray,The Rabbiter's Bounty,Australia and New Zealand,The Chaotic Age (20th Century)
Les A. Murray,Collected Poems,Australia and New Zealand,The Chaotic Age (20th Century)
Thomas Kennealy,The Playmaker,Australia and New Zealand,The Chaotic Age (20th Century)
Thomas Kennealy,Schindler's List,Australia and New Zealand,The Chaotic Age (20th Century)
David Malouf,An Imaginary Life,Australia and New Zealand,The Chaotic Age (20th Century)
Kevin Hart,Peniel and Other Poems,Australia and New Zealand,The Chaotic Age (20th Century)
Peter Carey,Oscar and Lucinda,Australia and New Zealand,The Chaotic Age (20th Century)
Peter Carey,Illywhacker,Australia and New Zealand,The Chaotic Age (20th Century)
"Robinson, Edwin Arlington.",Selected Poems,The United States,The Chaotic Age (20th Century)
Robert Frost,The Poetry,The United States,The Chaotic Age (20th Century)
"Edith Wharton, 1862–1937",Collected Short Stories,The United States,The Chaotic Age (20th Century)
"Edith Wharton, 1862–1937",The Age of Innocence,The United States,The Chaotic Age (20th Century)
"Edith Wharton, 1862–1937",Ethan Frome,The United States,The Chaotic Age (20th Century)
"Edith Wharton, 1862–1937",The House of Mirth,The United States,The Chaotic Age (20th Century)
"Edith Wharton, 1862–1937",The Custom of the Country,The United States,The Chaotic Age (20th Century)
"Willa Cather, 1873-1947",My Antonia,The United States,The Chaotic Age (20th Century)
"Willa Cather, 1873-1947",The Professor's House,The United States,The Chaotic Age (20th Century)
"Willa Cather, 1873-1947",A Lost Lady,The United States,The Chaotic Age (20th Century)
"Gertrude Stein, 1874–1946",Three Lives,The United States,The Chaotic Age (20th Century)
"Gertrude Stein, 1874–1946",The Geographical History of America,The United States,The Chaotic Age (20th Century)
"Gertrude Stein, 1874–1946",The Making of Americans,The United States,The Chaotic Age (20th Century)
"Gertrude Stein, 1874–1946",Tender Buttons,The United States,The Chaotic Age (20th Century)
Wallace Stevens,Collected Poems,The United States,The Chaotic Age (20th Century)
Wallace Stevens,The Necessary Angel,The United States,The Chaotic Age (20th Century)
Wallace Stevens,Opus Posthumous,The United States,The Chaotic Age (20th Century)
Wallace Stevens,The Palm at the End of the Mind,The United States,The Chaotic Age (20th Century)
Vachel Lindsay,Collected Poems,The United States,The Chaotic Age (20th Century)
"Masters, Edgar Lee.",Spoon River Anthology,The United States,The Chaotic Age (20th Century)
"Theodore Dreiser, 1871-1945",Sister Carrie,The United States,The Chaotic Age (20th Century)
"Theodore Dreiser, 1871-1945",An American Tragedy,The United States,The Chaotic Age (20th Century)
Sherwood Anderson,"Winesberg, Ohio",The United States,The Chaotic Age (20th Century)
Sherwood Anderson,Death in the Woods and Other Stories,The United States,The Chaotic Age (20th Century)
"Sinclair Lewis, 1885-1951",Babbitt,The United States,The Chaotic Age (20th Century)
"Sinclair Lewis, 1885-1951",It Can't Happen Here,The United States,The Chaotic Age (20th Century)
Elinor Wylie,Last Poems,The United States,The Chaotic Age (20th Century)
"Williams, William Carlos.",Spring and All,The United States,The Chaotic Age (20th Century)
"Williams, William Carlos.",Paterson,The United States,The Chaotic Age (20th Century)
"Williams, William Carlos.",Collected Poems,The United States,The Chaotic Age (20th Century)
Ezra Pound,Personae: Collected Poems,The United States,The Chaotic Age (20th Century)
Ezra Pound,The Cantos,The United States,The Chaotic Age (20th Century)
Ezra Pound,Literary Essays,The United States,The Chaotic Age (20th Century)
Robinson Jeffers,Selected Poems,The United States,The Chaotic Age (20th Century)
Marianne Moore,Complete Poems,The United States,The Chaotic Age (20th Century)
H.D. (Hilda Doolittle).,Selected Poems,The United States,The Chaotic Age (20th Century)
"Ransom, John Crowe.",Selected Poems,The United States,The Chaotic Age (20th Century)
"Eliot, T.S.",The Complete Poems and Plays,The United States,The Chaotic Age (20th Century)
"Eliot, T.S.",Selected Essays,The United States,The Chaotic Age (20th Century)
"Porter, Katherine Anne.",Collected Stories,The United States,The Chaotic Age (20th Century)
Jean Toomer,Cane,The United States,The Chaotic Age (20th Century)
"Passos, John Dos.",U.S.A,The United States,The Chaotic Age (20th Century)
Conrad Aiken,Collected Poems,The United States,The Chaotic Age (20th Century)
"Eugene O'Neill, 1888-1953",Lazarus Laughed,The United States,The Chaotic Age (20th Century)
"Eugene O'Neill, 1888-1953",The Iceman Cometh,The United States,The Chaotic Age (20th Century)
"Eugene O'Neill, 1888-1953",Long Day's Journey into Night,The United States,The Chaotic Age (20th Century)
"cummings, e.e.",Complete Poems,The United States,The Chaotic Age (20th Century)
"Wheelwright, John B.",Collected Poems,The United States,The Chaotic Age (20th Century)
Robert Fitzgerald,Spring Shade: Poems,The United States,The Chaotic Age (20th Century)
Louise Bogan,The Blue Estuaries: Selected Poems,The United States,The Chaotic Age (20th Century)
"Léonie Adams,",Poems: A Selection,The United States,The Chaotic Age (20th Century)
Hart Crane,Complete Poems,The United States,The Chaotic Age (20th Century)
Hart Crane,Selected Letters and Prose,The United States,The Chaotic Age (20th Century)
Allen Tate,Collected Poems,The United States,The Chaotic Age (20th Century)
"Fitzgerald, F. Scott, 1896-1940",Babylon Revisited and Other Stories,The United States,The Chaotic Age (20th Century)
"Fitzgerald, F. Scott, 1896-1940",The Great Gatsby,The United States,The Chaotic Age (20th Century)
"Fitzgerald, F. Scott, 1896-1940",Tender is the Night,The United States,The Chaotic Age (20th Century)
William Faulkner,As I Lay Dying,The United States,The Chaotic Age (20th Century)
William Faulkner,Sanctuary,The United States,The Chaotic Age (20th Century)
William Faulkner,Light in August,The United States,The Chaotic Age (20th Century)
William Faulkner,"Absalom, Absalom!",The United States,The Chaotic Age (20th Century)
William Faulkner,The Sound and the Fury,The United States,The Chaotic Age (20th Century)
William Faulkner,The Wild Palms,The United States,The Chaotic Age (20th Century)
William Faulkner,The Collected Stories,The United States,The Chaotic Age (20th Century)
William Faulkner,The Hamlet,The United States,The Chaotic Age (20th Century)
Ernest Hemingway,Complete Short Stories,The United States,The Chaotic Age (20th Century)
